mri,other
mri/1_case34_000.png,other/1_case34_000.png
mri/1_case34_001.png,other/1_case34_001.png
mri/1_case34_002.png,other/1_case34_002.png
mri/1_case34_003.png,other/1_case34_003.png
mri/1_case34_004.png,other/1_case34_004.png
mri/1_case34_005.png,other/1_case34_005.png
mri/1_case34_006.png,other/1_case34_006.png
mri/1_case34_007.png,other/1_case34_007.png
mri/1_case34_008.png,other/1_case34_008.png
mri/1_case34_009.png,other/1_case34_009.png
mri/1_case34_010.png,other/1_case34_010.png
mri/1_case34_011.png,other/1_case34_011.png
mri/1_case34_012.png,other/1_case34_012.png
mri/1_case34_013.png,other/1_case34_013.png
mri/1_case34_014.png,other/1_case34_014.png
mri/1_case34_015.png,other/1_case34_015.png
mri/1_case34_016.png,other/1_case34_016.png
mri/1_case34_017.png,other/1_case34_017.png
mri/1_case34_018.png,other/1_case34_018.png
mri/1_case34_019.png,other/1_case34_019.png
mri/1_case34_020.png,other/1_case34_020.png
mri/1_case34_021.png,other/1_case34_021.png
mri/1_case34_022.png,other/1_case34_022.png
mri/1_case34_023.png,other/1_case34_023.png
